time,event_type,task_id,status,release_time,deadline,origin_node,weight,collaborative,delivered_weight,remaining_weight,assigned_vehicles,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
5,released,0,pending,5,37,12753900120,10.7,False,0.0,10.7,{},,,0.0,0,
5,assigned,0,assigned,5,37,12753900120,10.7,False,0.0,10.7,{0: 10.7},0,5,0.0,0,
6,released,1,pending,6,62,13430926228,6.31,False,0.0,6.31,{},,,0.0,0,
6,assigned,1,assigned,6,62,13430926228,6.31,False,0.0,6.31,{1: 6.31},1,6,0.0,0,
9,released,2,pending,9,63,7087277726,6.69,False,0.0,6.69,{},,,0.0,0,
9,released,8,pending,9,50,705816727,10.94,False,0.0,10.94,{},,,0.0,0,
9,assigned,2,assigned,9,63,7087277726,6.69,False,0.0,6.69,{2: 6.69},2,9,0.0,0,
9,assigned,8,assigned,9,50,705816727,10.94,False,0.0,10.94,{3: 10.94},3,9,0.0,0,
9,completed,1,completed,6,62,13430926228,6.31,False,6.31,0.0,{},1,6,5.9127,3,9
11,completed,0,completed,5,37,12753900120,10.7,False,10.7,0.0,{},0,5,9.6009,6,11
12,released,9,pending,12,51,11701102943,16.6,False,0.0,16.6,{},,,0.0,0,
12,assigned,9,assigned,12,51,11701102943,16.6,False,0.0,16.6,{4: 16.6},4,12,0.0,0,
15,completed,9,completed,12,51,11701102943,16.6,False,16.6,0.0,{},4,12,5.0203,3,15
17,completed,2,completed,9,63,7087277726,6.69,False,6.69,0.0,{},2,9,12.2879,8,17
17,completed,8,completed,9,50,705816727,10.94,False,10.94,0.0,{},3,9,12.3918,8,17
21,released,4,pending,21,94,5223314094,26.11,False,0.0,26.11,{},,,0.0,0,
21,assigned,4,assigned,21,94,5223314094,26.11,False,0.0,26.11,{0: 26.11},0,21,0.0,0,
23,released,6,pending,23,71,5261426236,24.5,False,0.0,24.5,{},,,0.0,0,
23,assigned,6,assigned,23,71,5261426236,24.5,False,0.0,24.5,{1: 24.5},1,23,0.0,0,
25,released,5,pending,25,65,1996234813,7.88,False,0.0,7.88,{},,,0.0,0,
25,assigned,5,assigned,25,65,1996234813,7.88,False,0.0,7.88,{4: 7.88},4,25,0.0,0,
28,released,3,pending,28,97,12237341877,10.41,False,0.0,10.41,{},,,0.0,0,
28,released,7,pending,28,108,13430920000,7.27,False,0.0,7.27,{},,,0.0,0,
28,assigned,7,assigned,28,108,13430920000,7.27,False,0.0,7.27,{2: 7.27},2,28,0.0,0,
28,assigned,3,assigned,28,97,12237341877,10.41,False,0.0,10.41,{3: 10.41},3,28,0.0,0,
