event_type,reason,station_id,task_id,time,vehicle_id
task_released,,,18,0,
task_released,,,24,2,
task_completed,,,18,6,
task_completed,,,24,11,
vehicle_became_idle,reach_depot,,,13,0
task_released,,,8,16,
vehicle_became_idle,reach_depot,,,21,1
task_completed,,,8,23,
task_released,,,16,27,
task_released,,,23,30,
task_completed,,,16,30,
vehicle_became_idle,reach_depot,,,31,0
task_released,,,27,33,
vehicle_became_idle,reach_depot,,,34,1
task_completed,,,23,37,
task_released,,,7,40,
task_completed,,,27,40,
task_released,,,25,45,
vehicle_became_idle,reach_depot,,,45,2
task_released,,,2,48,
vehicle_became_idle,reach_depot,,,48,0
task_completed,,,7,52,
task_completed,,,2,57,
task_released,,,11,59,
task_completed,,,25,59,
task_completed,,,11,61,
vehicle_became_idle,reach_depot,,,64,0
task_released,,,14,65,
vehicle_became_idle,reach_depot,,,65,1
vehicle_became_idle,reach_depot,,,67,2
task_released,,,29,69,
task_released,,,15,73,
vehicle_became_idle,reach_depot,,,74,3
task_completed,,,14,77,
task_completed,,,29,79,
task_completed,,,15,84,
task_released,,,22,85,
vehicle_became_idle,reach_depot,,,90,0
vehicle_became_idle,reach_depot,,,90,1
vehicle_reached_station,,0,,93,0
vehicle_reached_station,,0,,93,1
vehicle_became_idle,reach_depot,,,96,2
task_completed,,,22,96,
task_released,,,17,98,
task_released,,,28,101,
task_completed,,,28,103,
task_released,,,13,104,
vehicle_became_idle,reach_depot,,,106,2
task_released,,,20,107,
vehicle_became_idle,reach_depot,,,108,3
task_completed,,,17,108,
vehicle_finished_charging,,0,,110,0
vehicle_finished_charging,,0,,110,1
task_released,,,10,112,
task_released,,,4,114,
task_released,,,0,115,
task_released,,,6,115,
task_completed,,,4,117,
task_completed,,,13,118,
task_released,,,1,119,
vehicle_became_idle,reach_depot,,,119,4
task_released,,,19,120,
vehicle_became_idle,reach_depot,,,121,2
task_completed,,,20,124,
vehicle_reached_station,,0,,124,2
task_completed,,,10,126,
vehicle_became_idle,reach_depot,,,128,3
task_released,,,26,130,
task_completed,,,1,130,
vehicle_reached_station,,0,,131,3
vehicle_became_idle,reach_depot,,,139,1
vehicle_became_idle,reach_depot,,,140,0
vehicle_became_idle,reach_depot,,,141,4
vehicle_finished_charging,,0,,141,2
vehicle_finished_charging,,0,,148,3
task_completed,,,6,151,
task_completed,,,26,151,
task_completed,,,0,152,
task_released,,,9,153,
task_completed,,,19,155,
task_completed,,,9,159,
task_released,,,3,161,
vehicle_became_idle,reach_depot,,,163,1
vehicle_became_idle,reach_depot,,,163,2
vehicle_became_idle,reach_depot,,,164,0
vehicle_became_idle,reach_depot,,,165,3
task_released,,,12,169,
vehicle_became_idle,reach_depot,,,169,4
task_completed,,,3,171,
task_released,,,21,172,
vehicle_reached_station,,0,,172,4
task_completed,,,12,175,
task_completed,,,21,175,
task_released,,,5,177,
vehicle_became_idle,reach_depot,,,179,1
vehicle_became_idle,reach_depot,,,179,2
